atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
84554,Goiás,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0
84854,Avaí,0.0,0.0,gol,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,2,0.0,0.0,0.0
84890,CSA,0.0,0.0,lat,0.0,1,0.0,0.0,0.0,9,5,8,8,1,0.0,0.0,0.0,1,14,0.0,9,0.0
84847,Santos,0.0,0.0,zag,0.0,2,0.0,0.0,0.0,7,0.0,2,3,0.0,0.0,0.0,0.0,0.0,12,0.0,5,3
84860,Atlético-PR,0.0,0.0,lat,2,0.0,0.0,0.0,0.0,6,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,9,0.0,5,1
84863,Botafogo,0.0,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84861,Avaí,0.0,0.0,lat,0.0,1,0.0,0.0,0.0,2,1,1,3,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0
83681,CSA,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,1,0.0,0.0,0.0,3,0.0,4,0.0
83528,Atlético-PR,0.0,0.0,zag,0.0,6,0.0,0.0,0.0,35,3,6,13,0.0,2,0.0,0.0,2,58,0.0,19,7
83772,Internacional,0.0,0.0,ata,0.0,1,0.0,0.0,0.0,10,2,9,21,0.0,1,0.0,0.0,2,22,0.0,9,0.0
84893,Vasco,0.0,0.0,lat,0.0,5,0.0,0.0,0.0,20,1,2,26,0.0,0.0,0.0,0.0,0.0,18,0.0,17,6
85004,Fluminense,0.0,0.0,gol,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
85300,Flamengo,0.0,0.0,ata,2,1,1,0.0,0.0,15,1,6,4,0.0,1,0.0,0.0,0.0,16,0.0,8,0.0
82647,Corinthians,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0
